number,name,diameter_km,H,G,epoch_tdb,e,a,i,node,peri,M,class,soln_date,U
108,Hecuba,75.498,7.97,,2461200.5,.06353809589498664,3.233068743008539,4.209222019833494,349.7186453955986,213.3525447913159,46.87726856770145,OMB,2026-06-05,0
109,Felicitas,82.588,8.98,0.04,2461200.5,.3004348145409879,2.692600921629714,7.84640184723433,2.715139222711832,57.56218062415228,111.4249507858428,MBA,2026-06-05,0
110,Lydia,86.09,7.83,0.20,2461200.5,.07894708244416797,2.732237648054246,5.959691215936457,56.76090614568245,282.2004556812948,55.15422146401271,MBA,2026-06-05,0
111,Ate,126.344,8.21,,2461200.5,.1035803276055195,2.592662606626071,4.932434597936122,305.6614902725464,168.4634177903461,317.8807544162281,MBA,2026-06-05,0
112,Iphigenia,69.818,9.77,,2461200.5,.127779180563683,2.433476306929781,2.597079673040794,323.347832097985,16.83456325501809,24.44416301328349,MBA,2026-06-05,0
113,Amalthea,50.137,8.53,0.35,2461200.5,.08626477245267472,2.376475627494548,5.042564510746434,123.3216140338108,80.24815822140427,114.0085936993772,MBA,2026-03-11,0
114,Kassandra,94.178,8.45,,2461200.5,.139080127074188,2.675269046281091,4.945877344439243,164.0515983253347,352.4995390816692,286.9373085407245,MBA,2026-06-05,0
115,Thyra,79.83,7.75,0.12,2461200.5,.192255333679979,2.379633497203938,11.58744193666622,308.7501261011866,97.03090030740333,354.9431950214318,MBA,2026-03-11,0
116,Sirona,71.70,7.77,,2461200.5,.13807401708455,2.768706203625423,3.561236965525492,63.67588424862696,94.01513258508277,59.23196674918699,MBA,2026-06-05,0
117,Lomia,208.974,8.15,,2461200.5,.02280794189566914,2.991791191632208,14.92314414350751,348.6117604547705,53.35358047898985,282.3691763457521,MBA,2026-06-05,0
118,Peitho,40.211,8.92,,2461200.5,.1633439909104643,2.437747807363132,7.746300709300649,47.62666087047771,33.1391068852981,263.949012074382,MBA,2026-06-05,0
119,Althaea,57.30,8.33,,2461200.5,.08172580397166145,2.581278265783546,5.786237203789581,203.6109154834166,170.2345623073819,250.0180185687921,MBA,2026-06-05,0
120,Lachesis,155.132,7.78,,2461200.5,.04897176081954983,3.119560453439225,6.941725960560039,340.5487738891918,242.8332902836181,330.2651178714744,MBA,2026-06-05,0
121,Hermione,209.00,7.39,,2461200.5,.1244487619502451,3.457772161299754,7.565504801874801,72.87630733227122,296.9368709991128,258.7079496569934,OMB,2026-03-23,0
122,Gerda,70.676,7.67,,2461200.5,.02267339073302181,3.225688364838124,1.643474364345323,177.9473766706889,320.271847701712,57.12263362101728,OMB,2026-06-05,0
