id,label,vmag,src,ra,dec,epoch,pmra,pmdec,plx,rv,hip,tyc,hr
Gaia DR3 3610827727856206976,Gaia DR3 3610827727856206976,9.22,G,201.411222221,-12.486598499,2016.0,-8.111215043500163,-24.213509013850366,4.7775998521984056,20.531466,,,
Gaia DR3 3611733347480470144,TYC 5547-115-1,9.16,G,201.507584098,-10.533856979,2016.0,-117.88874980072376,92.60197631436958,21.586445755378904,-2.11119,,5547-115-1,
HIP 65531,HIP 65531,9.6883,H,201.508313562,-3.378733407,1991.25,-3.73,2.73,-3.32,0.0,65531,,
Gaia DR3 3637012910805168384,Gaia DR3 3637012910805168384,7.08,G,201.536118516,-3.661122825,2016.0,0.6408236004701066,-5.918248494542112,5.824713156163096,-13.165089,,,
Gaia DR3 3608109803832366336,HIP 65548,9.33,G,201.557768364,-14.793174937,2016.0,-61.384670267254414,-27.03013883654029,11.090200543334717,-12.141569,65548,5550-1301-1,
Gaia DR3 3610040069509734784,HIP 65553,8.86,G,201.592838707,-13.057373237,2016.0,59.68402824909891,-112.34536019898312,9.682484234112586,24.908758,65553,5550-628-1,
Gaia DR3 3635238505196346240,HIP 65570,9.5,G,201.658189271,-4.445807601,2016.0,4.940969380470225,1.6720129006597466,1.735459455171933,-11.677735,65570,4962-1133-1,
Gaia DR3 3610040481826598272,TYC 5550-335-1,8.71,G,201.672932341,-13.021267662,2016.0,-0.14001688384043764,-3.369676966542193,2.602686953086612,-41.089336,,5550-335-1,
Gaia DR3 3610805737623654784,68 Vir,5.27,G,201.679267877,-12.707757879,2016.0,-130.09329548685625,-21.36913362335492,6.634366596953686,-28.868956,65581,5550-1597-1,5064
Gaia DR3 3631891901039024768,TYC 4965-231-1,8.48,G,201.691927403,-6.300859099,2016.0,-22.1916136456639,14.08044365714546,3.4901070048684737,-13.272961,,4965-231-1,
Gaia DR3 3635220187160238976,TYC 4962-1101-1,9.22,G,201.705091329,-4.620814087,2016.0,-4.689528889209767,-6.1338018262518865,8.69926230641427,-38.62744,,4962-1101-1,
Gaia DR3 3631954882439471104,TYC 4965-736-1,7.91,G,201.722897362,-5.93072236,2016.0,-16.37739168234834,-5.615976118277725,4.623599146356312,0.0,,4965-736-1,
Gaia DR3 3611718955046469632,TYC 5548-628-1,9.12,G,201.732963437,-10.595102508,2016.0,-4.627315505847487,-39.258230830675565,2.298183508474784,1.7339238,,5548-628-1,
Gaia DR3 3611606839220128256,TYC 5548-967-1,9.17,G,201.75219165,-11.339381416,2016.0,16.49757662925793,-24.030500978767147,5.512135740891484,13.711409,,5548-967-1,
Gaia DR3 3638029787262056448,TYC 4959-37-1,9.57,G,201.804981344,-2.315335516,2016.0,32.301617134800686,-18.787760495081926,2.5481548643923264,36.016434,,4959-37-1,
Gaia DR3 3609950493671867264,HIP 65623,7.78,G,201.815924844,-13.31040535,2016.0,-14.466961515945915,17.41447312350804,4.005153796817321,-6.434327,65623,5551-892-1,
Gaia DR3 3611714591359692928,TYC 5548-408-1,9.4,G,201.826717643,-10.65850865,2016.0,-18.17196648461965,0.0060922734180465345,1.378689008548165,-14.557474,,5548-408-1,
Gaia DR3 3604865252393354112,69 Vir,4.76,G,201.862621496,-15.973488519,2016.0,-121.56574616416879,20.434911317911713,12.012748203326701,-12.926038,65639,6120-921-1,5068
Gaia DR3 3610035705823048960,TYC 5551-754-1,9.05,G,201.868841672,-12.971892502,2016.0,-13.53120751282799,12.116103490124498,1.2547148978488203,-47.796192,,5551-754-1,
Gaia DR3 3623983801095204736,HIP 65642,9.51,G,201.873332392,-9.192758669,2016.0,-54.647131936958765,-11.925850775502964,7.280676925747445,-37.86047,65642,5545-797-1,
Gaia DR3 3609970933420757888,TYC 5551-824-1,9.3,G,201.920087784,-13.310383541,2016.0,9.165185056178432,-18.73493783268639,1.8739036980845571,-3.9028685,,5551-824-1,
Gaia DR3 3631290090221479296,HIP 65656,8.33,G,201.921904796,-6.815731848,2016.0,-38.34801084165938,19.03249824035172,2.3464538486675623,-68.51525,65656,4965-923-1,
Gaia DR3 3610912154029222400,TYC 5548-1029-1,9.72,G,201.92773808,-12.372432563,2016.0,-12.782889229143981,-2.2704831014001785,1.5342772151270219,-8.823993,,5548-1029-1,
Gaia DR3 3635125977053166464,TYC 4962-737-1,9.39,G,201.944379938,-4.969201549,2016.0,-15.427280148804497,-34.14778467571473,5.968005765612937,3.0096865,,4962-737-1,
Gaia DR3 3631987249313026688,TYC 4965-629-1,9.67,G,201.961348475,-5.750392256,2016.0,-2.096650586186616,-3.924709182363467,1.2468210950064216,32.58538,,4965-629-1,
Gaia DR3 3609928743957464448,HIP 65680,9.1,G,202.000869187,-13.57501032,2016.0,-49.81936102064139,4.916778562472945,4.693644128597223,-26.59922,65680,5551-1347-1,
Gaia DR3 3631235320798507904,TYC 4965-898-1,9.4,G,202.004190034,-7.027206739,2016.0,-20.42757724962781,-8.011139192854595,0.9238045575861987,14.494528,,4965-898-1,
